181
iD_ESTADO|ID_DISTRITO_FEDERAL|SECCION|TIPO_CASILLA|ID_CASILLA|EXT_CONTIGUA|TIPO_SECCION|LISTA_NOMINAL|ID_MUNICIPIO|ID_DIST_LOC|ID_ESTRATO_F|ESTRATO_F|ID_ESTRATO_L|ESTRATO_L|ID_AREA_RESPONSABILIDAD|PAN|PRI|PRD|PVEM|PT|MC|PANAL|MORENA|PES|PAN_PRD_MC|PAN_PRD|PAN_MC|PRD_MC|PRI_PVEM_PANAL|PRI_PVEM|PRI_PANAL|PVEM_PANAL|PT_MORENA_PES|PT_MORENA|PT_PES|MORENA_PES|CNR|NULOS|TOTAL|RAC|JAMK|AMLO|JHRC|ANIO|MES|DIA|HORA|MINUTOS|SEGUNDOS|ORIGEN_CAPTURA|MODIFICADO
13|7|1196|C|1|0|2|611|61|18|123|Estrato 123|0||83|40|49|2|2|12|2|1|244|7|2|0|1|0|3|0|0|0|6|1|0|4|1|4|410|47|55|274|29|2018|7|1|19|5|44|1|N
14|3|118|C|1|0|1|739|8|3|126|Estrato 126|3|Estrato 3|6|170|51|7|8|15|18|4|81|11|2|0|1|0|1|1|0|0|5|1|0|2|0|18|446|198|65|115|50|2018|7|1|19|11|20|1|N
14|3|1653|B|1|0|3|696|50|3|126|Estrato 126|3|Estrato 3|8|155|31|3|6|8|95|1|30|3|0|0|4|0|0|0|0|0|0|0|0|0|0|16|371|257|38|41|19|2018|7|1|19|20|45|1|N
14|3|2309|C|1|0|1|494|92|3|126|Estrato 126|3|Estrato 3|59|74|28|2|4|11|7|4|74|4|3|0|1|1|0|0|0|0|0|0|0|1|0|16|245|88|36|90|15|2018|7|1|19|19|13|1|N
14|3|2327|B|1|0|3|416|92|3|126|Estrato 126|3|Estrato 3|64|74|99|2|5|4|3|3|28|2|0|1|0|0|0|1|0|0|0|0|0|0|0|18|243|80|108|34|3|2018|7|1|19|8|29|1|N
14|3|2858|B|1|0|3|392|117|3|126|Estrato 126|3|Estrato 3|3|65|19|1|36|13|6|0|55|6|1|1|3|0|0|3|0|0|3|1|0|1|1|11|238|77|58|79|12|2018|7|1|19|16|19|1|N
14|3|2863|C|1|0|1|482|118|3|126|Estrato 126|3|Estrato 3|122|83|49|2|3|19|12|2|100|6|1|0|1|0|0|1|0|0|1|0|0|0|0|16|311|99|55|126|15|2018|7|1|19|20|43|1|N
14|3|2876|B|1|0|3|290|118|3|126|Estrato 126|3|Estrato 3|124|64|13|0|1|11|14|0|54|2|0|2|1|0|0|0|0|0|1|0|0|0|0|6|175|81|14|68|6|2018|7|1|19|10|14|1|N
14|4|2927|C|1|0|1|510|120|4|127|Estrato 127|4|Estrato 4|13|125|26|0|1|15|25|0|105|3|2|0|1|0|2|0|0|0|4|0|0|0|1|5|342|153|29|127|27|2018|7|1|19|14|2|1|N
14|5|1987|B|1|0|1|578|69|5|128|Estrato 128|5|Estrato 5|75|58|20|2|1|15|19|1|159|3|1|0|1|0|0|0|0|0|0|1|0|1|0|10|305|81|22|179|13|2018|7|1|19|17|57|1|N
14|7|2676|C|6|0|1|711|102|7|130|Estrato 130|7|Estrato 7|36|44|51|1|6|26|26|3|106|12|1|0|0|0|1|0|0|0|5|5|0|0|1|6|309|72|61|154|15|2018|7|1|19|15|41|1|N
14|11|1382|C|1|0|1|617|41|11|134|Estrato 134|11|Estrato 11|31|52|54|7|7|10|15|4|132|6|0|0|1|0|0|0|0|0|8|1|2|2|1|7|333|75|65|161|24|2018|7|1|19|3|9|1|N
14|11|1404|B|1|0|1|543|41|11|134|Estrato 134|11|Estrato 11|11|58|27|3|4|9|27|0|129|3|0|0|2|0|0|2|0|0|2|1|0|1|0|14|307|90|33|145|25|2018|7|1|19|23|56|1|N
14|11|1417|B|1|0|1|575|41|11|134|Estrato 134|11|Estrato 11|55|60|41|5|2|20|19|3|133|4|2|0|0|0|0|1|0|0|5|1|0|2|2|6|334|86|47|165|28|2018|7|1|19|15|9|1|N
14|14|921|C|2|0|1|558|41|14|137|Estrato 137|14|Estrato 14|108|46|43|1|3|22|42|2|112|12|1|0|3|0|1|0|1|0|5|4|0|0|1|8|324|93|50|155|17|2018|7|1|19|22|50|1|N
14|15|176|C|1|0|2|599|13|15|138|Estrato 138|15|Estrato 15|12|146|25|5|10|9|14|7|39|7|4|1|1|0|0|0|0|0|1|0|0|0|0|10|301|171|42|56|22|2018|7|1|19|22|38|1|N
14|15|258|B|1|0|1|713|18|15|138|Estrato 138|15|Estrato 15|33|27|22|3|5|22|34|14|135|16|1|0|2|0|0|0|0|0|5|1|0|1|1|13|317|67|41|180|15|2018|7|1|19|20|46|1|N
14|19|385|B|1|0|1|511|24|19|142|Estrato 142|19|Estrato 19|40|45|78|12|2|28|9|0|128|7|4|0|1|2|0|1|0|0|4|2|0|2|0|8|352|73|81|171|19|2018|7|1|19|22|24|1|N
14|20|2721|C|12|0|2|722|102|20|143|Estrato 143|20|Estrato 20|62|55|31|2|1|23|31|0|120|9|1|1|4|0|1|0|1|0|6|4|0|1|0|16|322|94|34|163|15|2018|7|1|19|9|50|1|N
15|2|5581|C|1|0|1|568|110|19|145|Estrato 145|0||69|54|44|7|7|28|7|3|169|5|2|1|0|0|1|0|0|0|10|1|0|0|0|5|366|71|55|213|22|2018|7|1|19|12|9|1|N
15|3|2351|B|1|0|2|535|49|13|146|Estrato 146|0||114|30|63|5|2|15|1|1|202|7|2|0|0|0|0|1|0|0|16|1|0|3|0|15|379|38|67|244|15|2018|7|1|19|13|18|1|N
15|8|6176|B|1|0|1|575|110|11|151|Estrato 151|0||85|75|52|6|4|15|7|3|179|14|6|2|1|11|2|2|0|0|14|3|2|1|0|6|424|108|63|228|19|2018|7|1|19|5|50|1|N
